発送日,注文ID,配送業者(ID),配送先_TEL,配送先_お名前(姓),配送先_お名前(名),配送先_郵便番号,配送先_都道府県(名称),配送先_住所1,配送先_住所2,商品名
"2024-06-10 12:47:54",46,1,09060140490,吉野,竜太,5310075,大阪府,大阪市北区大淀南2-2-9,新梅田タワー,〔テスト１〕
,46,,,,,,,,,手数料
"2024-06-10 12:47:54",46,1,09060140490,吉野,竜太,5310075,大阪府,大阪市北区大淀南2-2-9,新梅田タワー,送料
"2024-06-12 23:50:32",60,3,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名商品名商品名
,60,,,,,,,,,手数料
"2024-06-12 23:50:32",60,3,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
"2024-06-11 23:37:17",54,3,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
"2024-06-11 23:37:17",54,3,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,54,,,,,,,,,手数料
"2024-06-11 23:37:17",54,3,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
,66,3,09060140490,吉野,竜太,5310075,大阪府,大阪市北区大淀南,1-1-1,テスト667
,66,,,,,,,,,手数料
,66,3,09060140490,吉野,竜太,5310075,大阪府,大阪市北区大淀南,1-1-1,送料
,57,3,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,テスト667
,57,,,,,,,,,手数料
,57,3,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,送料
,62,3,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,62,,,,,,,,,手数料
,62,3,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
,61,3,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,61,,,,,,,,,手数料
,61,3,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
,68,3,11122223333,a,a,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),〔BGS10鑑定済〕バジル・ホーキンス(海外版/illust:Hayaken-sarena)【C】{ST02-010}
,68,,,,,,,,,手数料
,68,3,11122223333,a,a,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),送料
,50,2,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,商品名女の子シリーズ
,50,,,,,,,,,手数料
,50,2,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,送料
,48,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,商品名
,48,,,,,,,,,手数料
,48,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,送料
,44,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,〔テスト１〕ナミ(パラレル/illust:Sunohara/青背景/ウィンク)【R】{OP01-016}
,44,,,,,,,,,手数料
,44,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,送料
,42,,,,,,,,,手数料
"2024-06-10 10:52:14",42,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,送料
"2024-06-10 10:52:14",42,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,〔テスト１〕ナミ(パラレル/illust:Sunohara/青背景/ウィンク)【R】{OP01-016}
,43,,,,,,,,,手数料
,43,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,送料
,43,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,〔テスト１〕ナミ(パラレル/illust:Sunohara/青背景/ウィンク)【R】{OP01-016}
"2024-06-10 10:21:07",40,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,〔テスト１〕ナミ(パラレル/illust:Sunohara/青背景/ウィンク)【R】{OP01-016}
,40,,,,,,,,,手数料
"2024-06-10 10:21:07",40,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,送料
"2024-06-10 10:13:32",37,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,商品名
,37,,,,,,,,,手数料
"2024-06-10 10:13:32",37,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,送料
,39,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,〔テスト１〕ナミ(パラレル/illust:Sunohara/青背景/ウィンク)【R】{OP01-016}
,39,,,,,,,,,手数料
,39,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,送料
,36,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,商品名
,36,,,,,,,,,手数料
,36,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,送料
,35,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),テスト667
,35,,,,,,,,,手数料
,35,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
,34,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,34,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,34,,,,,,,,,手数料
,34,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
,33,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),〔テスト１〕ナミ(パラレル/illust:Sunohara/青背景/ウィンク)【R】{OP01-016}
,33,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名3
,33,,,,,,,,,手数料
,33,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
,32,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,32,,,,,,,,,手数料
,32,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
,25,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,25,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,25,,,,,,,,,手数料
,25,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
"2024-05-30 10:57:01",27,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),ナミ(パラレル/illust:Sunohara/青背景/ウィンク)【R】{OP01-016}
,27,,,,,,,,,手数料
"2024-05-30 10:57:01",27,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
,30,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,30,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,30,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,30,,,,,,,,,手数料
,30,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
,31,1,090,1,1,2222222,福井県,東大阪市岩田町,2-2-25,商品名3
,31,1,090,1,1,2222222,福井県,東大阪市岩田町,2-2-25,商品名商品名商品名
,31,1,090,1,1,2222222,福井県,東大阪市岩田町,2-2-25,商品名
,31,1,090,1,1,2222222,福井県,東大阪市岩田町,2-2-25,商品名
,31,1,090,1,1,2222222,福井県,東大阪市岩田町,2-2-25,商品名
,31,,,,,,,,,手数料
,31,1,090,1,1,2222222,福井県,東大阪市岩田町,2-2-25,送料
,23,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,ナミ(パラレル/illust:Sunohara/青背景/ウィンク)【R】{OP01-016}
,23,,,,,,,,,手数料
,23,1,09054638131,kawa,zoe,57809411,大阪府,東大阪市岩田町,2-2-25,送料
,28,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),ナミ(パラレル/illust:Sunohara/青背景/ウィンク)【R】{OP01-016}
,28,,,,,,,,,手数料
,28,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
"2024-05-22 22:43:50",2,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,2,,,,,,,,,手数料
"2024-05-22 22:43:50",2,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
,26,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),〔テスト１〕サボ(パラレル/漫画背景/漫画絵)【SR】{OP04-083}
,26,,,,,,,,,手数料
,26,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
,24,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,24,,,,,,,,,手数料
,24,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
"2024-05-29 09:58:56",22,1,09054638131,a,i,5780941,大阪府,東大阪市岩田町,2-2-25,商品名
,22,,,,,,,,,手数料
"2024-05-29 09:58:56",22,1,09054638131,a,i,5780941,大阪府,東大阪市岩田町,2-2-25,送料
"2024-05-29 09:59:03",21,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名3
"2024-05-29 09:59:03",21,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,21,,,,,,,,,手数料
"2024-05-29 09:59:03",21,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
"2024-05-22 23:31:03",15,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,15,,,,,,,,,手数料
"2024-05-22 23:31:03",15,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
"2024-05-29 09:59:09",20,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
"2024-05-29 09:59:09",20,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
"2024-05-29 09:59:09",20,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名3
,20,,,,,,,,,手数料
"2024-05-29 09:59:09",20,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
"2024-05-29 09:59:14",18,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,18,,,,,,,,,手数料
"2024-05-29 09:59:14",18,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
"2024-05-29 09:59:22",17,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,17,,,,,,,,,手数料
"2024-05-29 09:59:22",17,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
"2024-05-29 09:59:27",1,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
,1,,,,,,,,,手数料
"2024-05-29 09:59:27",1,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
